Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Percent,Greater75Percent
10/23/21,42,SC,"7,399,605","360,600","3,129,420","3,909,585",0,"143,718","167,413","183,271","789,693","5,586,113",75.49204316,1
10/23/21,42,DC,"1,289,905","58,300","493,200","738,405",0,"182,771","211,545","223,329","1,476,830","1,048,219",81.26327133,1
10/23/21,42,PR,"4,987,790","195,900","2,054,480","2,737,410",0,"156,176","175,115","190,304","918,684","4,944,768",99.13745366,1
10/23/21,42,AK,"1,131,045","72,400","444,680","613,965",0,"154,610","185,759","205,062","1,234,930","852,106",75.33793969,1
10/23/21,42,AZ,"10,503,880","479,800","4,189,680","5,834,400",0,"144,309","169,252","186,289","802,660","8,617,622",82.0422739,1
10/23/21,42,KY,"6,187,985","302,400","2,633,840","3,251,745",0,"138,506","162,578","178,596","824,445","5,217,763",84.32087343,1
10/23/21,42,NJ,"14,738,945","700,100","5,635,680","8,403,165",0,"165,938","193,466","212,266","998,888","12,058,760",81.8156252,1
10/23/21,42,CO,"8,765,385","389,800","3,379,700","4,995,885",0,"152,210","177,579","194,820","1,040,510","7,528,365",85.88744248,1
10/23/21,42,MO,"8,278,295","341,300","3,222,480","4,714,515",0,"134,882","158,112","173,664","779,473","6,643,626",80.25355463,1
10/23/21,42,US,"503,521,625","24,268,700","196,341,600","282,891,975","19,350","151,665","177,580","194,967","920,572","412,856,169",81.99373145,1
10/23/21,42,ND,"997,460","42,400","388,300","566,760",0,"130,890","156,527","171,417","832,292","794,806",79.68299481,1
10/23/21,42,MD,"10,594,710","479,400","3,951,660","6,163,650",0,"175,244","205,209","224,893","1,104,310","8,365,492",78.95914093,1
10/23/21,42,MS,"4,012,065","182,600","1,674,760","2,154,705",0,"134,807","159,119","176,156","824,352","2,930,172",73.03401116,0
10/23/21,42,TN,"9,151,930","414,100","3,545,640","5,192,190",0,"134,012","156,830","172,057","800,419","7,292,468",79.68229652,1
10/23/21,42,AR,"4,326,450","202,800","1,882,560","2,241,090",0,"143,364","169,184","186,674","825,844","3,174,437",73.37278831,0
10/23/21,42,NE,"2,742,330","124,300","1,019,480","1,598,550",0,"141,766","169,551","188,045","877,664","2,287,849",83.42719512,1
10/23/21,42,PA,"20,445,385","1,186,900","8,229,480","11,029,005",0,"159,705","184,500","201,088","854,254","17,198,354",84.11851379,1
10/23/21,42,IH2,"2,200,095","89,000","1,044,880","1,066,215",0,"105,631",0,0,0,"1,704,807",77.48788121,1
10/23/21,42,MN,"8,429,420","404,700","3,167,540","4,857,180",0,"149,468","176,418","194,384","915,861","7,037,080",83.48237483,1
10/23/21,42,HI,"2,490,360","101,000","924,460","1,464,900",0,"175,889","205,626","223,150","927,688","1,955,032",78.50399139,1
10/23/21,42,OK,"5,268,420","262,700","2,288,560","2,717,160",0,"133,143","158,438","175,337","829,500","4,385,686",83.24480584,1
10/23/21,42,IL,"18,962,345","928,600","7,058,620","10,975,125",0,"149,642","174,965","192,434","928,056","15,702,797",82.81041717,1
10/23/21,42,FM,"88,470","11,500","74,000","2,970",0,"85,360","99,956","109,593","503,787","75,240",85.04577823,1
10/23/21,42,OR,"7,109,115","375,800","2,806,900","3,926,415",0,"168,553","194,889","212,138","927,986","5,510,358",77.511167,1
10/23/21,42,NH,"2,266,650","130,700","866,500","1,269,450",0,"166,701","189,113","205,227","892,860","1,878,947",82.89533011,1
10/23/21,42,RI,"1,794,565","78,700","704,760","1,011,105",0,"169,401","193,486","209,924","959,424","1,530,159",85.26629016,1
10/23/21,42,NV,"4,257,280","210,700","1,523,700","2,522,880",0,"138,216","162,380","178,314","858,371","3,564,698",83.73181938,1
10/23/21,42,VA2,"6,631,120","542,900","3,138,260","2,949,960",0,0,0,0,0,"5,925,055",89.3522512,1
10/23/21,42,SD,"1,286,805","70,200","535,440","681,165",0,"145,458","174,340","192,763","847,301","1,002,759",77.92625922,1
10/23/21,42,CT,"5,976,495","280,200","2,368,200","3,328,095",0,"167,630","192,421","210,600","948,283","5,287,423",88.47029906,1
10/23/21,42,MT,"1,435,885","84,900","601,240","749,745",0,"134,348","156,483","170,900","695,556","1,154,941",80.43408769,1
10/23/21,42,NM,"3,143,205","151,200","1,294,800","1,697,205",0,"149,903","175,850","193,906","832,403","2,941,157",93.57191147,1
10/23/21,42,MH,"57,140","11,300","43,500","2,340",0,"97,821","114,546","125,591","577,347","41,351",72.36786839,1
10/23/21,42,IA,"4,523,245","229,900","1,759,200","2,534,145",0,"143,364","169,012","186,278","818,015","3,630,583",80.26500886,1
10/23/21,42,AL,"7,062,480","317,500","3,139,940","3,605,040",0,"144,039","168,681","185,130","831,039","4,759,947",67.39767051,0
10/23/21,42,FL,"34,671,185","1,862,100","13,407,680","19,401,405",0,"161,428","185,447","201,018","770,927","28,045,326",80.889436,1
10/23/21,42,TX,"43,819,645","2,127,500","16,851,320","24,840,825",0,"151,124","181,816","202,906","1,173,460","33,847,281",77.24225288,1
10/23/21,42,WY,"716,325","38,800","324,740","352,785",0,"123,769","145,974","160,963","722,255","557,340",77.8054654,1
10/23/21,42,GA,"15,359,675","658,300","6,323,500","8,377,875",0,"144,665","170,889","189,309","1,012,530","11,222,786",73.06655903,0
10/23/21,42,VA,"13,562,305","609,400","5,047,440","7,905,465",0,"158,893","185,608","203,191","998,031","11,470,954",84.57967875,1
10/23/21,42,NY,"31,365,035","1,466,900","11,763,720","18,134,415",0,"161,230","186,995","203,336","951,567","27,115,505",86.4513781,1
10/23/21,42,IN,"8,885,460","472,700","3,317,440","5,095,320",0,"131,984","155,748","172,057","818,376","7,074,028",79.61352592,1
10/23/21,42,DD2,"5,536,790","198,600","1,906,400","3,431,790",0,0,0,0,0,"6,147,294",111.0263167,1
